[STRING]
String = 60000,阵型说明(自设武将)
String = 60677,据闻瀛洲仙岛，近日有异象发生，我军不妨一探究竟！
String = 60678,蓬莱岛出现
String = 60679,蓬莱岛现世
String = 60680,听闻海上藏有蓬莱仙岛，近日大开门户，不知所为何故？
String = 60681,久闻海上有仙岛蓬莱，长年祥云缭绕，我军不妨一探！
String = 60682,近日沿海传闻蓬莱仙岛门户大开，我军不妨一探！
String = 60683,闻海上蓬莱仙岛，近日异象频频，我军不妨一探究竟！
String = 60684,据闻蓬莱仙岛，近日有异象发生，我军不妨一探究竟！
String = 60685,接触蓬莱岛的对话
String = 60686,本仙性喜天下异宝，将军若有“UJ好人卡”，不妨与本仙换取岛上秘宝！
String = 60687,本仙苦寻“UJ好人卡”而不可得，将军若有，不妨与本仙换取岛上秘宝！
String = 60688,岛上奇珍不少，将军若有珍宝“UJ好人卡”，与本仙交换如何？
String = 60689,本仙欲寻奇珍“UJ好人卡”，将军若有此物，不妨与本仙换取岛上秘宝！
String = 60690,将军可有异宝“UJ好人卡”？与本仙换取岛上奇珍如何？
String = 60695,散拨谣言
String = 60696,我军 #a02#于 #b04#军辖地 %s 散播谣言。\n
String = 60697,城内武将忠诚下降 %d\n
String = 60698,民心下降 %d
String = 60699,%s太守 #b02#成功阻止我军 #a02#散播谣言。\n
String = 60702,属下不负主公所托，%s人心浮动指日可待。
String = 60703,属下已成功散布谣言，%s已谣言四起。
String = 60704,属下的谣言散播顺利，请主公宽心。
String = 60705,主公英明，散播谣言进行得很成功。
String = 60706,谣言已开始流传，主公这招真是高明啊！
String = 60707,竟然使用散播谣言的下流手段，不愧是#b04#的为人。
String = 60708,连散播谣言的手段都使得出来，原来这就是#b04#的真面目。
String = 60709,用散播谣言的手段，#b04#不觉得太卑鄙无耻了吗？
String = 60710,#b04#原来不过是个成天派人造谣生事的小人而已。
String = 60711,没种的狗贼，竟敢用散播谣言的小人招数。
String = 60712,属下办事不力，散播谣言的计谋被识破了，请主公见谅。
String = 60713,请主公恕罪，散播谣言的计谋已东窗事发。
String = 60714,%s太守看穿属下计谋，请主公饶恕。
String = 60715,%s太守发觉散播谣言的计谋。
String = 60716,散播谣言的计谋被揭穿了。
String = 60717,这些鸡鸣狗盗的把戏，劝#b05#大人少用为妙，免得贻笑大方、徒增恶名。
String = 60718,在我#a02#治地散布谣言，#b04#真以为会成功吗？
String = 60719,有我#a02#的治理，散播谣言的奸计是不可能成功的。
String = 60720,这种雕虫小技岂能瞒过我#a02#之眼。
String = 60721,下九流的招数，#a03#根本不看在眼里。
String = 60725,同盟协议
String = 60726,#b04#拒绝接见
String = 60727,#b04#拒绝与我军缔结同盟
String = 60728,属下有负主公托付，#b02#回绝了同盟协议，请主公降罪。
String = 60729,禀告主公，同盟协议的任务失败，请主公恕罪。
String = 60730,回禀主公，同盟协议已经失败了。
String = 60731,可恶至极！#b02#竟拒绝主公的结盟协议，实在不知好歹！！
String = 60732,主公饶命啊！#b02#不肯结盟，属下实在无能为力。
String = 60733,我军与 #b04# 成功缔结同盟
String = 60734,吾主愿与阁下缔结君子之盟，一年期间有福同享、有难同当，不知意下如何？
String = 60735,#b03#大人如与吾主结成同盟，一统江山指日可待，请您仔细参详。
String = 60736,吾主#a03#大人盼能同盟联军、共图天下大计，不知阁下愿否？
String = 60737,吾主与#b03#大人皆天下豪杰也，如能结成同盟岂不大好？
String = 60738,吾主欲与贵军缔结同盟，一年期间，互不侵犯，不知大人以为如何？
String = 60739,#a03#久仰#b04#大人贤名，结盟一事自当从善如流。
String = 60740,贵主之意与#a03#所想不盟而合，两军正该缔结联盟。
String = 60741,如此甚好！能与#a03#大人结盟实乃#b04#之幸。
String = 60742,结盟一事#a03#正求之不得，岂有拒绝之理？
String = 60743,我正有此意，和#b04#大人联盟是我莫大荣幸。
String = 60745,\n且君主请留意，我军与%s同盟协议已到期，此后再无同盟关系！！
String = 60746,%s军
String = 60750,此乃上上之计，主公真睿智明君也。
String = 60751,主公此计甚妙，属下自叹不如。
String = 60752,主公真神机妙算，此计十拿九稳。
String = 60753,此计万无一失，主公妙计，属下佩服。
String = 60754,主公此计绝妙无双，必收事半功倍之效。
String = 60755,此不失为可行之计，主公英明。
String = 60756,此计可行，宜速办。
String = 60757,主公此策不急不缓，乃中计也。
String = 60758,此计可收一定成效，属下乐于从命。
String = 60759,主公此策缓急适中，属下以为可行。
String = 60760,此去恐怕弄巧成拙，望主公三思。
String = 60761,此计成功机会渺茫，还望主公多加思量。
String = 60762,此乃下下之策，属下认为绝不可行。
String = 60763,此计万万不可，请主公另行策略。
String = 60764,综观情势，此计实不可行。
String = 60765,此事变数甚多，结果并非属下所能预料。
String = 60766,此事成败难料，只能尽人事、听天命。
String = 60767,此计成败但看天意如何。
String = 60768,谋事在人、成事在天，此事只能静观其变。
String = 60769,此局情势诡谲，并非吾等凡夫俗子所能测度。
String = 60770,两军交战，不宜来往。
String = 60771,两军交战，不宜来往。
String = 60772,两军交战，不宜来往。
String = 60773,两军交战，不宜来往。
String = 60774,两军交战，不宜来往。
String = 60775,所谓良禽择木而栖，#b03#何不考虑投效我军？
String = 60776,吾主#a04#大人乃爱将之人，#b03#若来投，必受重用。
String = 60777,吾主#a04#大人乃天命所归，#b03#何不考虑改投明君？
String = 60778,#b03#委身#b04#此等庸人，实乃大材小用，何不考虑投效我军？
String = 60779,#b04#之辈岂是成大事之人，若投我军，方为建功立业之道，望君三思。
String = 60780,所谓良禽择木而栖，#b03#何不考虑投效我军？
String = 60781,吾主#a04#大人乃爱将之人，#b03#若来投，必受重用。
String = 60782,吾主#a04#大人乃天命所归，#b03#何不考虑改投明君？
String = 60783,#b03#委身#b04#此等庸人，实乃大材小用，何不考虑投效我军？
String = 60784,#b04#之辈岂是成大事之人，若投我军，方为建功立业之道，望君三思。
String = 60785,平心而论，#a04#大人之理念实在与我不合。
String = 60786,仔细思量，想我#a02#尽忠职守，无奈总是受到主公忽视。
String = 60787,#a04#大人究竟是否值得我继续追随呢？
String = 60788,我是否该认真考虑另投明主呢？
String = 60789,当初选择追随#a04#大人，如今已渐渐感到后悔了。
String = 60790,#a04#大人待我犹如兄弟手足，莫要离间君臣之情。
String = 60791,#a04#大人对我恩重如山，外人休得妄语。
String = 60792,#a04#大人待我不薄，#a03#对自己的眼光有信心。
String = 60793,#a04#大人知人善用，我并无二心。
String = 60794,#a03#受#a04#大人赏识大恩，断无反叛之心。
String = 60795,言之有理，吾正该弃暗投明，烦请#b03#代为引荐。
String = 60796,吾久慕#b04#大人贤名，既来相邀，如何不从？
String = 60797,#a03#欲投#b04#大人久矣，今日正是大好良机。
String = 60798,#b04#大人乃当世明主，能投其麾下，#a03#求之不得。
String = 60799,#a03#早有投奔之意，既来相邀，如何不从？
String = 60800,#b04#拒绝接受赠礼。
String = 60801,此乃吾主一番心意，请#b04#大人笑纳。
String = 60802,吾主特遣在下致赠薄礼一份，望#b04#大人不弃。
String = 60803,在下奉吾主之命，赠礼与#b04#大人，敬请笑纳。
String = 60804,此礼代表吾主心意，还望#b04#大人笑纳。
String = 60805,吾奉#a04#大人之命前来赠礼，请笑纳。
String = 60806,大义当前，在下只得公事公办，请#b05#大人把礼物收回吧！
String = 60807,两军相争实在不宜收受礼物，#b05#大人的好意在下心领。
String = 60808,所谓无功不受禄，这些礼金在下万万不能收。
String = 60809,送礼于事无补，还是免了吧！
String = 60810,吾岂是贪财之人，#b05#大人请收回赠礼！
String = 60811,#b04#接受我方赠礼。
String = 60812,我军与#b04#军外交度上升%d\n
String = 60813,我军与#b04#军外交度不变\n
String = 60814,我军与#b04#军外交度下降%d\n
String = 60815,我军与#b04#军外交关系由%s变更为%s\n
String = 60816,死仇
String = 60817,恶劣
String = 60818,一般
String = 60819,交好
String = 60820,友好
String = 60821,同盟
String = 60822,关系七(新增)
String = 60823,关系八(新增)
String = 60824,关系九(新增)
String = 60825,关系十(新增)
String = 60826,此乃吾主一番心意，请#b04#大人笑纳。
String = 60827,吾主特遣在下致赠薄礼一份，望#b04#大人不弃。
String = 60828,在下奉吾主之命，赠礼与#b04#大人，敬请笑纳。
String = 60829,此礼代表吾主心意，还望#b04#大人笑纳。
String = 60830,吾奉#a04#大人之命前来赠礼，请笑纳。
String = 60831,此乃吾主一番心意，请#b04#大人笑纳。
String = 60832,吾主特遣在下致赠薄礼一份，望#b04#大人不弃。
String = 60833,在下奉吾主之命，赠礼与#b04#大人，敬请笑纳。
String = 60834,此礼代表吾主心意，还望#b04#大人笑纳。
String = 60835,吾奉#a04#大人之命前来赠礼，请笑纳。
String = 60836,此乃吾主一番心意，请#b04#大人笑纳。
String = 60837,吾主特遣在下致赠薄礼一份，望#b04#大人不弃。
String = 60838,在下奉吾主之命，赠礼与#b04#大人，敬请笑纳。
String = 60839,此礼代表吾主心意，还望#b04#大人笑纳。
String = 60840,吾奉#a04#大人之命前来赠礼，请笑纳。
String = 60841,吾人非是贪财之辈，只是#b05#大人盛意拳拳，拒人于千里之外未免不近人情。
String = 60842,既然#b04#大人如此盛情，在下只好勉为其难、收下这份大礼。
String = 60843,#b04#大人如此客气，在下恭敬不如从命。
String = 60844,#b04#大人的厚礼，在下拜领，多谢！多谢！
String = 60845,此礼甚佳，多谢#b05#大人美意！
String = 60846,国家大事重于人情义理，#b04#大人送礼只是徒费心机罢了。
String = 60847,逐鹿中原的王者之争，岂是送份礼物就能够改变？
String = 60848,我们之间的问题不是一点礼物就有办法解决的。
String = 60849,莫要误会，收此薄礼，只是给你几分面子而已。
String = 60850,此礼我暂且收下，算是给#b04#大人一个面子！
String = 60851,大丈夫行事应该光明磊落，送礼行贿只是让人看轻#b04#大人而已。
String = 60852,常言道：“礼多必诈”，我看#b04#大人是想要乘机进攻吧？
String = 60853,现在才想套关系不嫌太晚吗？
String = 60854,#b04#当我是三岁娃儿，给点好处就能收买吗？
String = 60855,这些赠礼我就暂且收下，以免将来不知道拿什么给阁下陪葬。
String = 60856,我军#a02#赎回失败
String = 60857,我军赎回武将#a02#。
String = 60858,#a03#深信我军必来相救，今日果然得脱牢笼。
String = 60859,蒙我军弟兄相救，#a03#必不敢忘。
String = 60860,#a03#苦候今日已久，我军果然前来营救。
String = 60861,#a03#全赖我军弟兄相救，方得脱险，实在感激不尽。
String = 60862,#a03#败战遭俘，若非我军弟兄前来相救，实不知下场如何。
String = 60863,#b04#拒绝接见。
String = 60864,吾主特遣#a03#前来相商，请#b02#大人拨空接见。
String = 60865,#a03#奉吾主之命前来相商，望#b02#大人接见。
String = 60866,#a03#受吾主之命，特来商议两军情势，请#b02#大人赐见。
String = 60867,#a03#特来议论天下大事，，请#b02#大人赐见。
String = 60868,吾奉#a04#大人之命前来传达我军善意，望#b02#大人接见。
String = 60869,霸权之争岂是三言两语所能化解？#b04#何苦自取其辱。
String = 60870,#a03#听够令主的空话了，#b02#大人请回。
